1	2
1111	58
2077	60
3044	62
3178	9
4010	60
4977	61
5944	60
6112	20
6909	59
7876	61
8842	61
9808	60
10776	60
11742	58
12709	59
13676	60
14643	60
15610	60
16373	58
16577	57
17544	60
17860	26
18510	60
19478	60
20444	59
21410	58
22397	60
23344	59
24311	59
25278	59
26244	61
27211	58
28177	69
29143	61
29812	2
30107	61
31073	58
32039	59
32747	25
33006	59
33973	59
34939	58
35686	29
35907	58
36873	61
37839	58
38625	8
38807	67
39773	62
40739	59
41668	0
41707	61
42673	60
43638	66
45570	58
46537	59
47505	59
48471	58
49087	20
49438	64
